date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:40:57	36226/36226	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-8d82%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img03.jpg	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img03.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:40:57	25869/25869	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-650d%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img04.jpg	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img04.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:40:58	49721/49721	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-c239%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img05-bg.jpg	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img05-bg.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:40:59	15600/15600	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-3cf0%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img05.jpg	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img05.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:01	87292/87292	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-154fc%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img06-bg.jpg	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img06-bg.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:01	17829/17829	---M--	200	added ('OK')	image/jpeg	etag:%226077c38e-45a5%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img06.jpg	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-gallery-img06.jpg	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:02	14559/14559	---M--	200	added ('OK')	image/png	etag:%226077c38e-38df%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-carousel-img01.png	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-carousel-img01.png	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:03	11132/11132	---M--	200	added ('OK')	image/png	etag:%226077c38e-2b7c%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-carousel-img02.png	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-carousel-img02.png	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:04	12889/12889	---M--	200	added ('OK')	image/png	etag:%226077c38e-3259%22	https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-carousel-img03.png	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/mt-content/uploads/2017/11/mt-1252-carousel-img03.png	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
13:41:05	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22606c790d-4d7%22	https://demo.try-builder.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/Users/melvinyeo/websites/Pest%204/demo.try-builder.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://demo.try-builder.com/site/03/00q/ma/0300qma6mdm4fxqa/)
